budget,strategy,mean_nmse,std_nmse,ci_lo,ci_hi,n_seeds
96,magnitude,0.8839993501021591,0.025329191371839033,0.8755339012492412,0.8929969015937442,30
96,oracle,0.8807127435436974,0.023136012912264137,0.8725172572531648,0.8889857263684093,30
96,random,0.9051949858243064,0.02426213917697776,0.8969350474142255,0.9133916703940447,30
96,shap,0.8839993501021591,0.025329191371839033,0.8752133401135115,0.8928203947240249,30
96,uniform,0.9166047916004281,0.030653404610754924,0.9062914835802228,0.9285333527720784,30
96,variance,0.8846181010981006,0.026020905247872716,0.8755032848964819,0.894021672246241,30
150,magnitude,0.8069290977834277,0.014056868300337526,0.8021051075180758,0.8119115116528883,30
150,oracle,0.8070140185443394,0.014141527251362869,0.8019740694698149,0.8119028299204732,30
150,random,0.8808293541950317,0.02902342292955425,0.8710657736079872,0.8911049327617878,30
150,shap,0.8068296113216931,0.014095507568315659,0.8018752694989222,0.8117684362416651,30
150,uniform,0.8248064460199028,0.016307103952116382,0.8193987398852385,0.8304927109551549,30
150,variance,0.808039213420758,0.013959498010921657,0.8032068476145124,0.8129295727331042,30
300,magnitude,0.7334087500529242,0.011543226449525304,0.7293553564926856,0.7375461846947501,30
300,oracle,0.732746938408864,0.010610619343580499,0.7292796992898952,0.7365479990232522,30
300,random,0.8521023940298497,0.027698285652707683,0.8428454212351223,0.8626382075224847,30
300,shap,0.7331318677348285,0.011207496923332448,0.729474854612049,0.7372713544975434,30
300,uniform,0.7430881246843638,0.010971392525326862,0.7392356832369112,0.7470640967720934,30
300,variance,0.7326183899487612,0.010470338245137222,0.7289749293680783,0.7362840523388997,30
600,magnitude,0.6979097884708395,0.006365442117022516,0.6956969943543524,0.7002291445020895,30
600,oracle,0.6979755941411826,0.006848230352440406,0.695631561218732,0.7003991360514937,30
600,random,0.7130589356299892,0.009823291023401435,0.7096249605386589,0.7164849440078004,30
600,shap,0.6980363019687794,0.006453419129179863,0.6959429352866048,0.7003902933220991,30
600,uniform,0.7033439797807333,0.007321040464017746,0.7007254765681731,0.7060403386544956,30
600,variance,0.6981655275701216,0.006569972270470989,0.6959698299928766,0.7005202576200485,30
1200,magnitude,0.6817909770699392,0.006171982157681744,0.6797263821104162,0.6839867322879513,30
1200,oracle,0.6817407885950107,0.006356115954913613,0.6795090092707371,0.6840129340020668,30
1200,random,0.7007592501841687,0.008751662472833412,0.6978215862287572,0.7038709406953166,30
1200,shap,0.6819574900227591,0.0062003467712085135,0.6798857646434224,0.6842678886256339,30
1200,uniform,0.6849873158594474,0.006868227964519616,0.6826665213010292,0.6874299056471155,30
1200,variance,0.6818029683730182,0.0063559488552228155,0.6795976034393799,0.6839642413875276,30
2400,magnitude,0.6735554131999386,0.0030051269299285295,0.6724673943300933,0.6745574564738314,30
2400,oracle,0.6732234680125228,0.0030252425545925425,0.6720760596643138,0.6742319306975055,30
2400,random,0.6738382966517665,0.0032863596479130288,0.6727224435852445,0.6749504647029486,30
2400,shap,0.6734954289628424,0.0030734621087234923,0.6723808506259016,0.6745617957256533,30
2400,uniform,0.6747168173951601,0.003868936872984742,0.6733993288738594,0.6760205180109112,30
2400,variance,0.6733321643378383,0.0029209815774908256,0.6722931531273267,0.6743204037035074,30
